"카메라 번호","주소","상세 설명","측정 시작 시간","측정 종료 시간","카메라 통과 인원 (IN)","카메라 통과 인원 (OUT)","데이터입력시간"
"2","계동길 69","계동교회 앞","2022-06-01 03:30:38","2022-06-01 03:40:38","192","446","2022-06-01 03:40:38"
"2","계동길 69","계동교회 앞","2022-06-01 03:40:38","2022-06-01 03:50:38","195","474","2022-06-01 03:50:38"
"2","계동길 69","계동교회 앞","2022-06-01 03:50:38","2022-06-01 04:00:38","200","493","2022-06-01 04:00:38"
"2","계동길 69","계동교회 앞","2022-06-01 04:00:38","2022-06-01 04:10:38","212","526","2022-06-01 04:10:38"
"2","계동길 69","계동교회 앞","2022-06-01 04:10:38","2022-06-01 04:20:38","221","536","2022-06-01 04:20:38"
"2","계동길 69","계동교회 앞","2022-06-01 04:20:38","2022-06-01 04:30:38","223","547","2022-06-01 04:30:38"
"2","계동길 69","계동교회 앞","2022-06-01 04:30:38","2022-06-01 04:40:38","226","553","2022-06-01 04:40:38"
"2","계동길 69","계동교회 앞","2022-06-01 04:40:38","2022-06-01 04:50:38","227","568","2022-06-01 04:50:38"
"2","계동길 69","계동교회 앞","2022-06-01 04:50:38","2022-06-01 05:00:38","248","590","2022-06-01 05:00:38"
"2","계동길 69","계동교회 앞","2022-06-01 05:00:38","2022-06-01 05:10:38","269","634","2022-06-01 05:10:38"
"2","계동길 69","계동교회 앞","2022-06-01 05:10:38","2022-06-01 05:20:38","300","687","2022-06-01 05:20:38"
"2","계동길 69","계동교회 앞","2022-06-01 05:20:38","2022-06-01 05:30:38","406","827","2022-06-01 05:30:38"
"2","계동길 69","계동교회 앞","2022-06-01 05:30:38","2022-06-01 05:40:38","467","904","2022-06-01 05:40:38"
"2","계동길 69","계동교회 앞","2022-06-01 05:40:38","2022-06-01 05:50:38","549","1010","2022-06-01 05:50:38"
"2","계동길 69","계동교회 앞","2022-06-01 05:50:39","2022-06-01 06:00:39","619","1082","2022-06-01 06:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 06:00:39","2022-06-01 06:10:39","693","1168","2022-06-01 06:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 06:10:39","2022-06-01 06:20:39","781","1233","2022-06-01 06:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 06:20:39","2022-06-01 06:30:39","909","1388","2022-06-01 06:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 06:30:39","2022-06-01 06:40:39","1013","1443","2022-06-01 06:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 06:40:39","2022-06-01 06:50:39","1134","1577","2022-06-01 06:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 06:50:39","2022-06-01 07:00:39","1205","1635","2022-06-01 07:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 07:00:39","2022-06-01 07:10:39","1293","1738","2022-06-01 07:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 07:10:39","2022-06-01 07:20:39","1457","1953","2022-06-01 07:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 07:20:39","2022-06-01 07:30:39","1727","2190","2022-06-01 07:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 07:30:39","2022-06-01 07:40:39","1937","2331","2022-06-01 07:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 07:40:39","2022-06-01 07:50:39","2025","2430","2022-06-01 07:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 07:50:39","2022-06-01 08:00:39","2204","2608","2022-06-01 08:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 08:00:39","2022-06-01 08:10:39","2265","2739","2022-06-01 08:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 08:10:39","2022-06-01 08:20:39","2416","2902","2022-06-01 08:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 08:20:39","2022-06-01 08:30:39","2651","3158","2022-06-01 08:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 08:30:39","2022-06-01 08:40:39","2862","3438","2022-06-01 08:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 08:40:39","2022-06-01 08:50:39","3135","3812","2022-06-01 08:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 08:50:39","2022-06-01 09:00:39","3374","4068","2022-06-01 09:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 09:00:39","2022-06-01 09:10:39","3501","4216","2022-06-01 09:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 09:10:39","2022-06-01 09:20:39","3680","4374","2022-06-01 09:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 09:20:39","2022-06-01 09:30:39","3812","4464","2022-06-01 09:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 09:30:39","2022-06-01 09:40:39","4035","4639","2022-06-01 09:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 09:40:39","2022-06-01 09:50:39","4222","4694","2022-06-01 09:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 09:50:39","2022-06-01 10:00:39","4412","4741","2022-06-01 10:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 10:00:39","2022-06-01 10:10:39","4539","4809","2022-06-01 10:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 10:10:39","2022-06-01 10:20:39","4584","4861","2022-06-01 10:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 10:20:39","2022-06-01 10:30:39","4608","4906","2022-06-01 10:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 10:30:39","2022-06-01 10:40:39","4642","4978","2022-06-01 10:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 10:40:39","2022-06-01 10:50:39","4688","5027","2022-06-01 10:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 10:50:39","2022-06-01 11:00:39","4742","5102","2022-06-01 11:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 11:00:39","2022-06-01 11:10:39","4866","5201","2022-06-01 11:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 11:10:39","2022-06-01 11:20:39","4978","5336","2022-06-01 11:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 11:20:39","2022-06-01 11:30:39","5104","5495","2022-06-01 11:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 11:30:39","2022-06-01 11:40:39","5249","5659","2022-06-01 11:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 11:40:39","2022-06-01 11:50:39","5420","5863","2022-06-01 11:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 11:50:39","2022-06-01 12:00:39","5584","6086","2022-06-01 12:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 12:00:39","2022-06-01 12:10:39","5746","6292","2022-06-01 12:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 12:10:39","2022-06-01 12:20:39","5937","6528","2022-06-01 12:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 12:20:39","2022-06-01 12:30:39","6145","6770","2022-06-01 12:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 12:30:39","2022-06-01 12:40:39","6391","6979","2022-06-01 12:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 12:40:39","2022-06-01 12:50:39","6605","7182","2022-06-01 12:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 12:50:39","2022-06-01 13:00:39","6807","7449","2022-06-01 13:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 13:00:39","2022-06-01 13:10:39","7012","7635","2022-06-01 13:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 13:10:39","2022-06-01 13:20:39","7248","7885","2022-06-01 13:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 13:20:39","2022-06-01 13:30:39","7427","8077","2022-06-01 13:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 13:30:39","2022-06-01 13:40:39","7640","8310","2022-06-01 13:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 13:40:39","2022-06-01 13:50:39","7868","8525","2022-06-01 13:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 13:50:39","2022-06-01 14:00:39","8100","8753","2022-06-01 14:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 14:00:39","2022-06-01 14:10:39","8353","8990","2022-06-01 14:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 14:10:39","2022-06-01 14:20:39","8533","9196","2022-06-01 14:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 14:20:39","2022-06-01 14:30:39","8825","9381","2022-06-01 14:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 14:30:39","2022-06-01 14:40:39","9055","9610","2022-06-01 14:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 14:40:39","2022-06-01 14:50:39","9261","9773","2022-06-01 14:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 14:50:39","2022-06-01 15:00:39","9455","9963","2022-06-01 15:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 15:00:39","2022-06-01 15:10:39","9644","10152","2022-06-01 15:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 15:10:39","2022-06-01 15:20:39","9819","10302","2022-06-01 15:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 15:20:39","2022-06-01 15:30:39","9988","10461","2022-06-01 15:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 15:30:39","2022-06-01 15:40:39","10124","10624","2022-06-01 15:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 15:40:39","2022-06-01 15:50:39","10271","10766","2022-06-01 15:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 15:50:39","2022-06-01 16:00:39","10408","10907","2022-06-01 16:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 16:00:39","2022-06-01 16:10:39","10518","11017","2022-06-01 16:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 16:10:39","2022-06-01 16:20:39","10615","11179","2022-06-01 16:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 16:20:39","2022-06-01 16:30:39","10725","11323","2022-06-01 16:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 16:30:39","2022-06-01 16:40:39","10825","11458","2022-06-01 16:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 16:40:39","2022-06-01 16:50:39","10934","11589","2022-06-01 16:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 16:50:39","2022-06-01 17:00:39","11053","11695","2022-06-01 17:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 17:00:39","2022-06-01 17:10:39","11184","11827","2022-06-01 17:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 17:10:39","2022-06-01 17:20:39","11287","11982","2022-06-01 17:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 17:20:39","2022-06-01 17:30:39","11376","12130","2022-06-01 17:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 17:30:39","2022-06-01 17:40:39","11469","12253","2022-06-01 17:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 17:40:39","2022-06-01 17:50:39","11622","12389","2022-06-01 17:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 17:50:39","2022-06-01 18:00:39","11742","12560","2022-06-01 18:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 18:00:39","2022-06-01 18:10:39","11886","12729","2022-06-01 18:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 18:10:39","2022-06-01 18:20:39","12018","12913","2022-06-01 18:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 18:20:39","2022-06-01 18:30:39","12163","13119","2022-06-01 18:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 18:30:39","2022-06-01 18:40:39","12331","13344","2022-06-01 18:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 18:40:39","2022-06-01 18:50:39","12530","13584","2022-06-01 18:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 18:50:39","2022-06-01 19:00:39","12715","13799","2022-06-01 19:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 19:00:39","2022-06-01 19:10:39","12863","13993","2022-06-01 19:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 19:10:39","2022-06-01 19:20:39","13052","14159","2022-06-01 19:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 19:20:39","2022-06-01 19:30:39","13246","14366","2022-06-01 19:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 19:30:39","2022-06-01 19:40:39","13348","14468","2022-06-01 19:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 19:40:39","2022-06-01 19:50:39","13507","14612","2022-06-01 19:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 19:50:39","2022-06-01 20:00:39","13614","14721","2022-06-01 20:00:39"
"2","계동길 69","계동교회 앞","2022-06-01 20:00:39","2022-06-01 20:10:39","13670","14804","2022-06-01 20:10:39"
"2","계동길 69","계동교회 앞","2022-06-01 20:10:39","2022-06-01 20:20:39","13724","14906","2022-06-01 20:20:39"
"2","계동길 69","계동교회 앞","2022-06-01 20:20:39","2022-06-01 20:30:39","13790","14981","2022-06-01 20:30:39"
"2","계동길 69","계동교회 앞","2022-06-01 20:30:39","2022-06-01 20:40:39","13856","15054","2022-06-01 20:40:39"
"2","계동길 69","계동교회 앞","2022-06-01 20:40:39","2022-06-01 20:50:39","13892","15122","2022-06-01 20:50:39"
"2","계동길 69","계동교회 앞","2022-06-01 20:50:39","2022-06-01 21:00:40","13936","15199","2022-06-01 21:00:40"
"2","계동길 69","계동교회 앞","2022-06-01 21:00:40","2022-06-01 21:10:40","13981","15258","2022-06-01 21:10:40"
"2","계동길 69","계동교회 앞","2022-06-01 21:10:40","2022-06-01 21:20:40","14035","15299","2022-06-01 21:20:40"
"2","계동길 69","계동교회 앞","2022-06-01 21:20:40","2022-06-01 21:30:40","14088","15338","2022-06-01 21:30:40"
"2","계동길 69","계동교회 앞","2022-06-01 21:30:40","2022-06-01 21:40:40","14115","15406","2022-06-01 21:40:40"
"2","계동길 69","계동교회 앞","2022-06-01 21:40:40","2022-06-01 21:50:40","14144","15461","2022-06-01 21:50:40"
"2","계동길 69","계동교회 앞","2022-06-01 21:50:40","2022-06-01 22:00:40","14168","15536","2022-06-01 22:00:40"
"2","계동길 69","계동교회 앞","2022-06-01 22:00:40","2022-06-01 22:10:40","14235","15616","2022-06-01 22:10:40"
"2","계동길 69","계동교회 앞","2022-06-01 22:10:40","2022-06-01 22:20:40","14293","15669","2022-06-01 22:20:40"
"2","계동길 69","계동교회 앞","2022-06-01 22:20:40","2022-06-01 22:30:40","14344","15724","2022-06-01 22:30:40"
"2","계동길 69","계동교회 앞","2022-06-01 22:30:40","2022-06-01 22:40:40","14370","15767","2022-06-01 22:40:40"
"2","계동길 69","계동교회 앞","2022-06-01 22:40:40","2022-06-01 22:50:40","14416","15842","2022-06-01 22:50:40"
"2","계동길 69","계동교회 앞","2022-06-01 22:50:40","2022-06-01 23:00:40","14440","15917","2022-06-01 23:00:40"
"2","계동길 69","계동교회 앞","2022-06-01 23:00:40","2022-06-01 23:10:40","14458","15986","2022-06-01 23:10:40"
"2","계동길 69","계동교회 앞","2022-06-01 23:10:40","2022-06-01 23:20:40","14478","16014","2022-06-01 23:20:40"
"2","계동길 69","계동교회 앞","2022-06-01 23:20:40","2022-06-01 23:30:40","14501","16042","2022-06-01 23:30:40"
"2","계동길 69","계동교회 앞","2022-06-01 23:30:40","2022-06-01 23:40:40","14517","16075","2022-06-01 23:40:40"
"2","계동길 69","계동교회 앞","2022-06-01 23:40:40","2022-06-01 23:50:40","14527","16100","2022-06-01 23:50:40"
"2","계동길 69","계동교회 앞","2022-06-02 00:00:39","2022-06-02 00:10:39","21","46","2022-06-02 00:10:39"
"2","계동길 69","계동교회 앞","2022-06-02 00:10:39","2022-06-02 00:20:39","36","60","2022-06-02 00:20:39"
"2","계동길 69","계동교회 앞","2022-06-02 00:20:39","2022-06-02 00:30:39","45","75","2022-06-02 00:30:39"
"2","계동길 69","계동교회 앞","2022-06-02 00:30:39","2022-06-02 00:40:39","53","125","2022-06-02 00:40:39"
"2","계동길 69","계동교회 앞","2022-06-02 00:40:39","2022-06-02 00:50:39","75","170","2022-06-02 00:50:39"
"2","계동길 69","계동교회 앞","2022-06-02 00:50:39","2022-06-02 01:00:39","83","207","2022-06-02 01:00:39"
"2","계동길 69","계동교회 앞","2022-06-02 01:00:39","2022-06-02 01:10:39","89","238","2022-06-02 01:10:39"
"2","계동길 69","계동교회 앞","2022-06-02 01:10:39","2022-06-02 01:20:39","99","272","2022-06-02 01:20:39"
"2","계동길 69","계동교회 앞","2022-06-02 01:20:39","2022-06-02 01:30:39","117","307","2022-06-02 01:30:39"
"2","계동길 69","계동교회 앞","2022-06-02 01:30:39","2022-06-02 01:40:39","120","318","2022-06-02 01:40:39"
"2","계동길 69","계동교회 앞","2022-06-02 01:40:39","2022-06-02 01:50:39","125","329","2022-06-02 01:50:39"
"2","계동길 69","계동교회 앞","2022-06-02 01:50:39","2022-06-02 02:00:39","140","350","2022-06-02 02:00:39"
"2","계동길 69","계동교회 앞","2022-06-02 02:00:39","2022-06-02 02:10:39","145","359","2022-06-02 02:10:39"
"2","계동길 69","계동교회 앞","2022-06-02 02:10:39","2022-06-02 02:20:39","151","390","2022-06-02 02:20:39"
"2","계동길 69","계동교회 앞","2022-06-02 02:20:39","2022-06-02 02:30:39","162","413","2022-06-02 02:30:39"
"2","계동길 69","계동교회 앞","2022-06-02 02:30:39","2022-06-02 02:40:39","162","431","2022-06-02 02:40:39"
"2","계동길 69","계동교회 앞","2022-06-02 02:40:39","2022-06-02 02:50:39","170","465","2022-06-02 02:50:39"
"2","계동길 69","계동교회 앞","2022-06-02 02:50:39","2022-06-02 03:00:39","177","488","2022-06-02 03:00:39"
"2","계동길 69","계동교회 앞","2022-06-02 03:00:39","2022-06-02 03:10:39","188","520","2022-06-02 03:10:39"
"2","계동길 69","계동교회 앞","2022-06-02 03:10:39","2022-06-02 03:20:39","189","536","2022-06-02 03:20:39"
"2","계동길 69","계동교회 앞","2022-06-02 03:20:39","2022-06-02 03:30:39","193","573","2022-06-02 03:30:39"
"2","계동길 69","계동교회 앞","2022-06-02 03:30:39","2022-06-02 03:40:39","218","599","2022-06-02 03:40:39"
"2","계동길 69","계동교회 앞","2022-06-02 03:40:39","2022-06-02 03:50:39","229","648","2022-06-02 03:50:39"
"2","계동길 69","계동교회 앞","2022-06-02 03:50:39","2022-06-02 04:00:39","232","677","2022-06-02 04:00:39"
"2","계동길 69","계동교회 앞","2022-06-02 04:00:39","2022-06-02 04:10:39","236","687","2022-06-02 04:10:39"
"2","계동길 69","계동교회 앞","2022-06-02 04:10:39","2022-06-02 04:20:39","244","711","2022-06-02 04:20:39"
"2","계동길 69","계동교회 앞","2022-06-02 04:20:39","2022-06-02 04:30:39","250","745","2022-06-02 04:30:39"
"2","계동길 69","계동교회 앞","2022-06-02 04:30:39","2022-06-02 04:40:39","253","766","2022-06-02 04:40:39"
"2","계동길 69","계동교회 앞","2022-06-02 04:40:39","2022-06-02 04:50:39","262","792","2022-06-02 04:50:39"
"2","계동길 69","계동교회 앞","2022-06-02 04:50:39","2022-06-02 05:00:39","268","817","2022-06-02 05:00:39"
"2","계동길 69","계동교회 앞","2022-06-02 05:00:39","2022-06-02 05:10:39","293","868","2022-06-02 05:10:39"
"2","계동길 69","계동교회 앞","2022-06-02 05:10:39","2022-06-02 05:20:39","328","924","2022-06-02 05:20:39"
"2","계동길 69","계동교회 앞","2022-06-02 05:20:39","2022-06-02 05:30:39","420","1020","2022-06-02 05:30:39"
"2","계동길 69","계동교회 앞","2022-06-02 05:30:39","2022-06-02 05:40:39","526","1135","2022-06-02 05:40:39"
"2","계동길 69","계동교회 앞","2022-06-02 05:40:39","2022-06-02 05:50:39","652","1281","2022-06-02 05:50:39"
"2","계동길 69","계동교회 앞","2022-06-02 05:50:39","2022-06-02 06:00:39","778","1428","2022-06-02 06:00:39"
"2","계동길 69","계동교회 앞","2022-06-02 06:00:39","2022-06-02 06:10:39","929","1594","2022-06-02 06:10:39"
"2","계동길 69","계동교회 앞","2022-06-02 06:10:39","2022-06-02 06:20:39","1037","1749","2022-06-02 06:20:39"
"2","계동길 69","계동교회 앞","2022-06-02 06:20:39","2022-06-02 06:30:39","1129","1864","2022-06-02 06:30:39"
"2","계동길 69","계동교회 앞","2022-06-02 06:30:39","2022-06-02 06:40:39","1251","1955","2022-06-02 06:40:39"
"2","계동길 69","계동교회 앞","2022-06-02 06:40:39","2022-06-02 06:50:39","1337","2097","2022-06-02 06:50:39"
"2","계동길 69","계동교회 앞","2022-06-02 06:50:39","2022-06-02 07:00:39","1538","2335","2022-06-02 07:00:39"
"2","계동길 69","계동교회 앞","2022-06-02 07:00:39","2022-06-02 07:10:39","1762","2561","2022-06-02 07:10:39"
"2","계동길 69","계동교회 앞","2022-06-02 07:10:39","2022-06-02 07:20:39","2025","2825","2022-06-02 07:20:39"
"2","계동길 69","계동교회 앞","2022-06-02 07:20:39","2022-06-02 07:30:39","2247","3049","2022-06-02 07:30:39"
"2","계동길 69","계동교회 앞","2022-06-02 07:30:39","2022-06-02 07:40:39","2478","3265","2022-06-02 07:40:39"
"2","계동길 69","계동교회 앞","2022-06-02 07:40:39","2022-06-02 07:50:39","2776","3588","2022-06-02 07:50:39"
"2","계동길 69","계동교회 앞","2022-06-02 07:50:39","2022-06-02 08:00:39","3119","3833","2022-06-02 08:00:39"
"2","계동길 69","계동교회 앞","2022-06-02 08:00:39","2022-06-02 08:10:39","3397","4089","2022-06-02 08:10:39"
"2","계동길 69","계동교회 앞","2022-06-02 08:10:39","2022-06-02 08:20:39","3698","4345","2022-06-02 08:20:39"
"2","계동길 69","계동교회 앞","2022-06-02 08:20:39","2022-06-02 08:30:39","3921","4576","2022-06-02 08:30:39"
"2","계동길 69","계동교회 앞","2022-06-02 08:30:39","2022-06-02 08:40:39","4152","4826","2022-06-02 08:40:39"
"2","계동길 69","계동교회 앞","2022-06-02 08:40:39","2022-06-02 08:50:39","4363","5090","2022-06-02 08:50:39"
"2","계동길 69","계동교회 앞","2022-06-02 08:50:39","2022-06-02 09:00:39","4628","5379","2022-06-02 09:00:39"
"2","계동길 69","계동교회 앞","2022-06-02 09:00:39","2022-06-02 09:10:39","4837","5580","2022-06-02 09:10:39"
"2","계동길 69","계동교회 앞","2022-06-02 09:10:39","2022-06-02 09:20:39","5076","5809","2022-06-02 09:20:39"
"2","계동길 69","계동교회 앞","2022-06-02 09:20:39","2022-06-02 09:30:39","5307","6019","2022-06-02 09:30:39"
"2","계동길 69","계동교회 앞","2022-06-02 09:30:39","2022-06-02 09:40:39","5548","6222","2022-06-02 09:40:39"
"2","계동길 69","계동교회 앞","2022-06-02 09:40:39","2022-06-02 09:50:39","5768","6330","2022-06-02 09:50:39"
"2","계동길 69","계동교회 앞","2022-06-02 09:50:39","2022-06-02 10:00:39","5967","6415","2022-06-02 10:00:39"
"2","계동길 69","계동교회 앞","2022-06-02 10:00:39","2022-06-02 10:10:39","6110","6518","2022-06-02 10:10:39"
"2","계동길 69","계동교회 앞","2022-06-02 10:10:39","2022-06-02 10:20:39","6184","6623","2022-06-02 10:20:39"
"2","계동길 69","계동교회 앞","2022-06-02 10:20:39","2022-06-02 10:30:39","6225","6699","2022-06-02 10:30:39"
"2","계동길 69","계동교회 앞","2022-06-02 10:30:39","2022-06-02 10:40:39","6282","6784","2022-06-02 10:40:39"
"2","계동길 69","계동교회 앞","2022-06-02 10:40:39","2022-06-02 10:50:39","6345","6886","2022-06-02 10:50:39"
"2","계동길 69","계동교회 앞","2022-06-02 10:50:39","2022-06-02 11:00:39","6416","6987","2022-06-02 11:00:39"
"2","계동길 69","계동교회 앞","2022-06-02 11:00:39","2022-06-02 11:10:40","6506","7100","2022-06-02 11:10:40"
"2","계동길 69","계동교회 앞","2022-06-02 11:10:40","2022-06-02 11:20:40","6644","7258","2022-06-02 11:20:40"
"2","계동길 69","계동교회 앞","2022-06-02 11:20:40","2022-06-02 11:30:40","6827","7418","2022-06-02 11:30:40"
"2","계동길 69","계동교회 앞","2022-06-02 11:30:40","2022-06-02 11:40:40","7013","7624","2022-06-02 11:40:40"
"2","계동길 69","계동교회 앞","2022-06-02 11:40:40","2022-06-02 11:50:40","7215","7829","2022-06-02 11:50:40"
"2","계동길 69","계동교회 앞","2022-06-02 11:50:40","2022-06-02 12:00:40","7417","8058","2022-06-02 12:00:40"
"2","계동길 69","계동교회 앞","2022-06-02 12:00:40","2022-06-02 12:10:40","7683","8253","2022-06-02 12:10:40"
"2","계동길 69","계동교회 앞","2022-06-02 12:10:40","2022-06-02 12:20:40","7931","8498","2022-06-02 12:20:40"
"2","계동길 69","계동교회 앞","2022-06-02 12:20:40","2022-06-02 12:30:40","8217","8758","2022-06-02 12:30:40"
"2","계동길 69","계동교회 앞","2022-06-02 12:30:40","2022-06-02 12:40:40","8461","8958","2022-06-02 12:40:40"
"2","계동길 69","계동교회 앞","2022-06-02 12:40:40","2022-06-02 12:50:40","8687","9220","2022-06-02 12:50:40"
"2","계동길 69","계동교회 앞","2022-06-02 12:50:40","2022-06-02 13:00:40","8891","9447","2022-06-02 13:00:40"
"2","계동길 69","계동교회 앞","2022-06-02 13:00:40","2022-06-02 13:10:40","9064","9674","2022-06-02 13:10:40"
